,TP,FP,TN,FN,,Total,Specifity,Sensitivity,False Positive Rate,Distance,,Min,
151,,,,,,1262,,,,,,0.07038199,49
254,1,0,1111,150,,Total True,1,0.006622517,0,0.993377483,,,
253,1,0,1111,150,,151,1,0.006622517,0,0.993377483,,,
252,1,0,1111,150,,Total False,1,0.006622517,0,0.993377483,,,
251,1,0,1111,150,,1111,1,0.006622517,0,0.993377483,,,
250,1,0,1111,150,,,1,0.006622517,0,0.993377483,,,
249,5,0,1111,146,,,1,0.033112583,0,0.966887417,,,
248,6,0,1111,145,,,1,0.039735099,0,0.960264901,,,
247,8,0,1111,143,,,1,0.052980132,0,0.947019868,,,
246,11,0,1111,140,,,1,0.072847682,0,0.927152318,,,
245,13,0,1111,138,,,1,0.086092715,0,0.913907285,,,
244,16,0,1111,135,,,1,0.105960265,0,0.894039735,,,
243,20,0,1111,131,,,1,0.132450331,0,0.867549669,,,
242,23,0,1111,128,,,1,0.152317881,0,0.847682119,,,
241,24,0,1111,127,,,1,0.158940397,0,0.841059603,,,
240,28,0,1111,123,,,1,0.185430464,0,0.814569536,,,
239,31,0,1111,120,,,1,0.205298013,0,0.794701987,,,
238,35,0,1111,116,,,1,0.231788079,0,0.768211921,,,
237,39,0,1111,112,,,1,0.258278146,0,0.741721854,,,
236,41,0,1111,110,,,1,0.271523179,0,0.728476821,,,
235,43,1,1110,108,,,0.99909991,0.284768212,0.00090009,0.715232354,,,
234,48,1,1110,103,,,0.99909991,0.317880795,0.00090009,0.682119799,,,
233,53,2,1109,98,,,0.99819982,0.350993377,0.00180018,0.649009119,,,
232,60,2,1109,91,,,0.99819982,0.397350993,0.00180018,0.602651695,,,
231,63,4,1107,88,,,0.99639964,0.417218543,0.00360036,0.582792578,,,
230,68,4,1107,83,,,0.99639964,0.450331126,0.00360036,0.549680665,,,
229,75,5,1106,76,,,0.99549955,0.496688742,0.00450045,0.503331379,,,
228,81,5,1106,70,,,0.99549955,0.536423841,0.00450045,0.463598004,,,
227,89,7,1104,62,,,0.99369937,0.589403974,0.00630063,0.410644365,,,
226,93,7,1104,58,,,0.99369937,0.61589404,0.00630063,0.384157633,,,
225,98,10,1101,53,,,0.9909991,0.649006623,0.0090009,0.351108768,,,
224,99,14,1097,52,,,0.98739874,0.655629139,0.01260126,0.344601337,,,
223,104,16,1095,47,,,0.98559856,0.688741722,0.01440144,0.311591266,,,
222,111,17,1094,40,,,0.98469847,0.735099338,0.01530153,0.265342227,,,
221,115,20,1091,36,,,0.9819982,0.761589404,0.0180018,0.239089266,,,
220,118,25,1086,33,,,0.97749775,0.781456954,0.02250225,0.219698462,,,
219,121,30,1081,30,,,0.9729973,0.801324503,0.0270027,0.200502117,,,
218,122,34,1077,29,,,0.96939694,0.80794702,0.03060306,0.194475948,,,
217,128,37,1074,23,,,0.96669667,0.847682119,0.03330333,0.155916159,,,
216,130,40,1071,21,,,0.9639964,0.860927152,0.0360036,0.143657635,,,
215,133,42,1069,18,,,0.96219622,0.880794702,0.03780378,0.125056103,,,
214,133,43,1068,18,,,0.96129613,0.880794702,0.03870387,0.125331132,,,
