,TP,FP,TN,FN
11, 151
253, 0, 0, 1111, 151
252, 0, 0, 1111, 151
251, 0, 0, 1111, 151
250, 0, 0, 1111, 151
249, 4, 0, 1111, 147
248, 5, 0, 1111, 146
247, 6, 0, 1111, 145
246, 9, 0, 1111, 142
245, 10, 0, 1111, 141
244, 13, 0, 1111, 138
243, 16, 0, 1111, 135
242, 17, 0, 1111, 134
241, 18, 0, 1111, 133
240, 21, 0, 1111, 130
239, 24, 0, 1111, 127
238, 27, 0, 1111, 124
237, 31, 0, 1111, 120
236, 32, 0, 1111, 119
235, 33, 0, 1111, 118
234, 37, 0, 1111, 114
233, 42, 0, 1111, 109
232, 46, 0, 1111, 105
231, 48, 0, 1111, 103
230, 51, 0, 1111, 100
229, 57, 0, 1111, 94
228, 63, 0, 1111, 88
227, 71, 0, 1111, 80
226, 74, 0, 1111, 77
225, 79, 0, 1111, 72
224, 80, 0, 1111, 71
223, 82, 0, 1111, 69
222, 86, 0, 1111, 65
221, 90, 0, 1111, 61
220, 91, 0, 1111, 60
219, 93, 0, 1111, 58
218, 93, 0, 1111, 58
217, 97, 0, 1111, 54
216, 99, 0, 1111, 52
215, 101, 0, 1111, 50
214, 101, 0, 1111, 50
213, 104, 0, 1111, 47
212, 105, 0, 1111, 46
211, 106, 1, 1110, 45
210, 106, 1, 1110, 45
209, 107, 3, 1108, 44
208, 107, 6, 1105, 44
207, 108, 7, 1104, 43
206, 108, 8, 1103, 43
205, 108, 8, 1103, 43
204, 108, 11, 1100, 43
203, 109, 12, 1099, 42
202, 110, 15, 1096, 41
201, 110, 19, 1092, 41
200, 110, 19, 1092, 41
199, 111, 22, 1089, 40
198, 111, 24, 1087, 40
197, 111, 26, 1085, 40
196, 111, 28, 1083, 40
195, 111, 32, 1079, 40
194, 111, 33, 1078, 40
193, 111, 36, 1075, 40
192, 111, 38, 1073, 40
191, 111, 41, 1070, 40
190, 111, 45, 1066, 40
189, 111, 47, 1064, 40
188, 111, 51, 1060, 40
187, 111, 56, 1055, 40
186, 111, 60, 1051, 40
185, 111, 60, 1051, 40
184, 111, 63, 1048, 40
183, 111, 66, 1045, 40
182, 111, 69, 1042, 40
