,TP,FP,TN,FN,,Total,Specificity,Sensitivity,False Positive Rate,Distance,,Min
11,151,,,,,1262,,,,,,0.265639755
253,0,0,1111,151,,Total True,1,0,0,1,,
252,0,0,1111,151,,151,1,0,0,1,,
251,0,0,1111,151,,Total False,1,0,0,1,,
250,0,0,1111,151,,1111,1,0,0,1,,
249,4,0,1111,147,,,1,0.026490066,0,0.973509934,,
248,5,0,1111,146,,,1,0.033112583,0,0.966887417,,
247,6,0,1111,145,,,1,0.039735099,0,0.960264901,,
246,9,0,1111,142,,,1,0.059602649,0,0.940397351,,
245,10,0,1111,141,,,1,0.066225166,0,0.933774834,,
244,13,0,1111,138,,,1,0.086092715,0,0.913907285,,
243,16,0,1111,135,,,1,0.105960265,0,0.894039735,,
242,17,0,1111,134,,,1,0.112582781,0,0.887417219,,
241,18,0,1111,133,,,1,0.119205298,0,0.880794702,,
240,21,0,1111,130,,,1,0.139072848,0,0.860927152,,
239,24,0,1111,127,,,1,0.158940397,0,0.841059603,,
238,27,0,1111,124,,,1,0.178807947,0,0.821192053,,
237,31,0,1111,120,,,1,0.205298013,0,0.794701987,,
236,32,0,1111,119,,,1,0.21192053,0,0.78807947,,
235,33,0,1111,118,,,1,0.218543046,0,0.781456954,,
234,37,0,1111,114,,,1,0.245033113,0,0.754966887,,
233,42,0,1111,109,,,1,0.278145695,0,0.721854305,,
232,46,0,1111,105,,,1,0.304635762,0,0.695364238,,
231,48,0,1111,103,,,1,0.317880795,0,0.682119205,,
230,51,0,1111,100,,,1,0.337748344,0,0.662251656,,
229,57,0,1111,94,,,1,0.377483444,0,0.622516556,,
228,63,0,1111,88,,,1,0.417218543,0,0.582781457,,
227,71,0,1111,80,,,1,0.470198675,0,0.529801325,,
226,74,0,1111,77,,,1,0.490066225,0,0.509933775,,
225,79,0,1111,72,,,1,0.523178808,0,0.476821192,,
224,80,0,1111,71,,,1,0.529801325,0,0.470198675,,
223,82,0,1111,69,,,1,0.543046358,0,0.456953642,,
222,86,0,1111,65,,,1,0.569536424,0,0.430463576,,
221,90,0,1111,61,,,1,0.59602649,0,0.40397351,,
220,91,0,1111,60,,,1,0.602649007,0,0.397350993,,
219,93,0,1111,58,,,1,0.61589404,0,0.38410596,,
218,93,0,1111,58,,,1,0.61589404,0,0.38410596,,
217,97,0,1111,54,,,1,0.642384106,0,0.357615894,,
216,99,0,1111,52,,,1,0.655629139,0,0.344370861,,
215,101,0,1111,50,,,1,0.668874172,0,0.331125828,,
214,101,0,1111,50,,,1,0.668874172,0,0.331125828,,
213,104,0,1111,47,,,1,0.688741722,0,0.311258278,,
212,105,0,1111,46,,,1,0.695364238,0,0.304635762,,
211,106,1,1110,45,,,0.99909991,0.701986755,0.00090009,0.298014604,,
210,106,1,1110,45,,,0.99909991,0.701986755,0.00090009,0.298014604,,
209,107,3,1108,44,,,0.99729973,0.708609272,0.00270027,0.29140324,,
208,107,6,1105,44,,,0.99459946,0.708609272,0.00540054,0.29144077,,
207,108,7,1104,43,,,0.99369937,0.715231788,0.00630063,0.284837906,,
206,108,8,1103,43,,,0.99279928,0.715231788,0.00720072,0.284859237,,
205,108,8,1103,43,,,0.99279928,0.715231788,0.00720072,0.284859237,,
204,108,11,1100,43,,,0.99009901,0.715231788,0.00990099,0.284940282,,
203,109,12,1099,42,,,0.98919892,0.721854305,0.01080108,0.278355333,,
202,110,15,1096,41,,,0.98649865,0.728476821,0.01350135,0.271858645,,
201,110,19,1092,41,,,0.98289829,0.728476821,0.01710171,0.272061216,,
200,110,19,1092,41,,,0.98289829,0.728476821,0.01710171,0.272061216,,
199,111,22,1089,40,,,0.98019802,0.735099338,0.01980198,0.265639755,,
198,111,24,1087,40,,,0.97839784,0.735099338,0.02160216,0.265780011,,
197,111,26,1085,40,,,0.97659766,0.735099338,0.02340234,0.265932379,,
196,111,28,1083,40,,,0.97479748,0.735099338,0.02520252,0.266096839,,
195,111,32,1079,40,,,0.97119712,0.735099338,0.02880288,0.266461942,,
194,111,33,1078,40,,,0.97029703,0.735099338,0.02970297,0.266560738,,
193,111,36,1075,40,,,0.96759676,0.735099338,0.03240324,0.266875122,,
192,111,38,1073,40,,,0.96579658,0.735099338,0.03420342,0.267099672,,
191,111,41,1070,40,,,0.96309631,0.735099338,0.03690369,0.267458863,,
190,111,45,1066,40,,,0.95949595,0.735099338,0.04050405,0.267979363,,
189,111,47,1064,40,,,0.95769577,0.735099338,0.04230423,0.268257355,,
188,111,51,1060,40,,,0.95409541,0.735099338,0.04590459,0.268848642,,
187,111,56,1055,40,,,0.949594959,0.735099338,0.050405041,0.269653535,,
186,111,60,1051,40,,,0.945994599,0.735099338,0.054005401,0.27034967,,
185,111,60,1051,40,,,0.945994599,0.735099338,0.054005401,0.27034967,,
184,111,63,1048,40,,,0.943294329,0.735099338,0.056705671,0.270902001,,
183,111,66,1045,40,,,0.940594059,0.735099338,0.059405941,0.271480067,,
182,111,69,1042,40,,,0.937893789,0.735099338,0.062106211,0.272083705,,
181,111,71,1040,40,,,0.936093609,0.735099338,0.063906391,0.272500253,,
180,111,77,1034,40,,,0.930693069,0.735099338,0.069306931,0.273817113,,
179,111,82,1029,40,,,0.926192619,0.735099338,0.073807381,0.27499071,,
178,111,83,1028,40,,,0.925292529,0.735099338,0.074707471,0.275233659,,
177,111,85,1026,40,,,0.923492349,0.735099338,0.076507651,0.275727731,,
176,111,89,1022,40,,,0.919891989,0.735099338,0.080108011,0.276748359,,
175,111,91,1020,40,,,0.918091809,0.735099338,0.081908191,0.277274796,,
174,111,93,1018,40,,,0.916291629,0.735099338,0.083708371,0.277811901,,
173,111,94,1017,40,,,0.915391539,0.735099338,0.084608461,0.278084434,,
172,111,96,1015,40,,,0.913591359,0.735099338,0.086408641,0.278637424,,
171,111,97,1014,40,,,0.912691269,0.735099338,0.087308731,0.278917865,,
170,111,98,1013,40,,,0.911791179,0.735099338,0.088208821,0.279200926,,
169,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
168,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
167,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
166,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
165,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
164,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
163,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
162,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
161,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
160,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
159,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
158,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
157,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
156,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
155,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
154,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
153,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
152,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
151,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
150,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
149,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
148,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
147,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
146,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
145,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
144,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
143,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
142,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
141,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
140,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
139,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
138,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
137,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
136,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
135,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
134,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
133,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
132,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
131,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
130,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
129,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
128,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
127,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
126,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
125,111,100,1011,40,,,0.909990999,0.735099338,0.090009001,0.279774876,,
