TIME,ACCX,ACCY,ACCZ,PITCH,ROLL,YAW
0.050000,0.000005,0.000003,0.007352,0.000038,0.000017,0.000008,
0.100000,0.000004,0.000004,0.007351,0.000041,0.000061,0.000022,
0.150000,0.000004,0.000002,0.007351,0.000039,0.000060,0.000023,
0.200000,0.000004,0.000003,0.007344,0.000038,0.000064,0.000026,
0.250000,0.000004,0.000006,0.007353,0.000028,0.000064,0.000026,
0.300000,0.000003,0.000006,0.007350,0.000020,0.000065,0.000028,
0.350000,0.000003,0.000006,0.007349,0.000020,0.000059,0.000029,
0.400000,0.000004,0.000006,0.007348,0.000109,0.000246,0.000029,
0.450000,0.000004,0.000010,0.007342,0.000141,0.000389,0.000030,
0.500000,0.000005,0.000013,0.007353,0.000139,0.000531,0.000030,
0.550000,0.000010,0.000015,0.007355,0.000142,0.000498,0.000033,
0.600000,0.000014,0.000012,0.007352,0.000149,0.000507,0.000032,
0.650000,0.000013,0.000011,0.007350,0.000295,0.000588,0.000086,
0.700000,0.000038,0.000064,0.007348,0.000290,0.000591,0.000126,
0.750000,0.000058,0.000989,0.007336,0.000297,0.000568,0.000842,
0.800000,0.000058,0.002604,0.007331,0.000310,0.000554,0.004173,
0.850000,0.000063,0.003265,0.007331,0.000308,0.000538,0.004933,
0.900000,0.000278,0.003533,0.007340,0.000242,0.000451,0.005048,
0.950000,0.000358,0.003335,0.007342,0.000212,0.000360,0.008219,
1.000000,0.000401,0.003164,0.007343,0.000211,0.000384,0.015226,
1.050000,0.000397,0.002831,0.007346,0.000365,0.000390,0.017314,
1.100000,0.000433,0.002846,0.007348,0.000889,0.000499,0.018006,
1.150000,0.000820,0.003530,0.007346,0.000924,0.000399,0.019573,
1.200000,0.000875,0.004848,0.007346,0.001040,0.000386,0.019875,
1.250000,0.001521,0.004829,0.007357,0.001347,0.001069,0.018669,
1.300000,0.001527,0.003901,0.007358,0.001594,0.001150,0.028504,
1.350000,0.002898,0.003121,0.007356,0.002038,0.001227,0.030626,
1.400000,0.002884,0.003086,0.007350,0.001880,0.001205,0.034241,
1.450000,0.002761,0.002450,0.007348,0.002029,0.001284,0.033439,
1.500000,0.003209,0.002438,0.007336,0.001982,0.001032,0.028654,
1.550000,0.003598,0.002302,0.007331,0.001983,0.001101,0.026525,
1.600000,0.004121,0.002739,0.007331,0.002254,0.000900,0.025693,
1.650000,0.003785,0.003605,0.007340,0.002144,0.000790,0.031365,
1.700000,0.003743,0.003630,0.007338,0.001896,0.000790,0.036968,
1.750000,0.003172,0.003107,0.007349,0.001760,0.000391,0.046623,
1.800000,0.003179,0.002887,0.007353,0.001580,0.000410,0.028411,
1.850000,0.001828,0.002583,0.007357,0.000977,0.000240,0.019845,
1.900000,0.001765,0.003069,0.007357,0.001079,0.000241,0.018336,
1.950000,0.001760,0.002410,0.007359,0.001099,0.000211,0.016876,
2.000000,0.001180,0.001429,0.007364,0.000918,0.000219,0.017429,
2.050000,0.000865,0.001504,0.007363,0.000996,0.000064,0.019589,
2.100000,0.000303,0.002508,0.007361,0.000414,0.000073,0.020487,
2.150000,0.000279,0.002461,0.007356,0.001496,0.000373,0.025182,
2.200000,0.000194,0.002891,0.007363,0.001470,0.000420,0.020632,
2.250000,0.000084,0.002616,0.007339,0.001454,0.000437,0.008770,
2.300000,0.000086,0.002695,0.007332,0.001384,0.000418,0.008786,
2.350000,0.000084,0.002269,0.007337,0.001344,0.000420,0.005815,
2.400000,0.000023,0.001153,0.007339,0.001156,0.000440,0.005506,
2.450000,0.000023,0.000448,0.007339,0.001026,0.000454,0.004856,
2.500000,0.000021,0.000331,0.007336,0.001023,0.000453,0.004807,
2.550000,0.000019,0.000317,0.007333,0.000868,0.000454,0.004715,
2.600000,0.000013,0.000266,0.007355,0.000816,0.000453,0.004743,
2.650000,0.000012,0.000003,0.007350,0.000025,0.000024,0.000010,
2.700000,0.000006,0.000002,0.007347,0.000025,0.000020,0.000012,
2.750000,0.000005,0.000002,0.007351,0.000019,0.000020,0.000015,
2.800000,0.000005,0.000001,0.007353,0.000016,0.000020,0.000016,
2.850000,0.000005,0.000001,0.007356,0.000016,0.000020,0.000023,
2.900000,0.000005,0.000001,0.007356,0.000026,0.000023,0.000021,
2.950000,0.000005,0.000001,0.007356,0.000029,0.000028,0.000027,
3.000000,0.000005,0.000001,0.007354,0.000027,0.000028,0.000027,
3.050000,0.000005,0.000001,0.007357,0.000027,0.000033,0.000026,
3.100000,0.000005,0.000003,0.007347,0.000021,0.000053,0.000024,
3.150000,0.000004,0.000003,0.007350,0.000025,0.000048,0.000028,
3.200000,0.000003,0.000003,0.007348,0.000026,0.000049,0.000026,
3.250000,0.000005,0.000003,0.007350,0.000031,0.000055,0.000023,
3.300000,0.000005,0.000003,0.007348,0.000034,0.000057,0.000024,
3.350000,0.000004,0.000005,0.007336,0.000032,0.000064,0.000019,
3.400000,0.000004,0.000005,0.007331,0.000026,0.000053,0.000018,
3.450000,0.000004,0.000006,0.007331,0.000046,0.000081,0.000020,
3.500000,0.000004,0.000006,0.007340,0.000049,0.000081,0.000020,
3.550000,0.000004,0.000006,0.007338,0.000049,0.000077,0.000020,
3.600000,0.000004,0.000004,0.007349,0.000048,0.000051,0.000019,
3.650000,0.000004,0.000004,0.007353,0.000033,0.000050,0.000015,
3.700000,0.000004,0.000004,0.007357,0.000033,0.000051,0.000015,
3.750000,0.000005,0.000004,0.007365,0.000019,0.000049,0.000013,
3.800000,0.000005,0.000004,0.007369,0.000028,0.000048,0.000015,
3.850000,0.000004,0.000002,0.007372,0.000032,0.000037,0.000014,
3.900000,0.000005,0.000002,0.007375,0.000033,0.000039,0.000016,
3.950000,0.000004,0.000001,0.007375,0.000018,0.000016,0.000008,
4.000000,0.000005,0.000002,0.007367,0.000012,0.000025,0.000009,
4.050000,0.000005,0.000002,0.007369,0.000013,0.000026,0.000012,
4.100000,0.000005,0.000002,0.007358,0.000016,0.000026,0.000011,
4.150000,0.000006,0.000003,0.007358,0.000016,0.000029,0.000012,
4.200000,0.000006,0.000003,0.007356,0.000016,0.000032,0.000013,
4.250000,0.000008,0.000003,0.007354,0.000024,0.000037,0.000014,
4.300000,0.000007,0.000004,0.007350,0.000017,0.000042,0.000012,
4.350000,0.000007,0.000004,0.007349,0.000015,0.000044,0.000010,
4.400000,0.000007,0.000004,0.007356,0.000016,0.000041,0.000022,
4.450000,0.000007,0.000004,0.007359,0.000015,0.000036,0.000022,
4.500000,0.000006,0.000004,0.007361,0.000013,0.000028,0.000026,
4.550000,0.000004,0.000004,0.007361,0.000013,0.000031,0.000025,
4.600000,0.000004,0.000005,0.007352,0.000014,0.000031,0.000027,
4.650000,0.000004,0.000005,0.007356,0.000014,0.000028,0.000030,
4.700000,0.000005,0.000005,0.007356,0.000013,0.000026,0.000030,
4.750000,0.000004,0.000004,0.007348,0.000013,0.000033,0.000033,
4.800000,0.000004,0.000004,0.007350,0.000013,0.000025,0.000034,
4.850000,0.000004,0.000003,0.007348,0.000009,0.000043,0.000034,
4.900000,0.000005,0.000004,0.007336,0.000010,0.000048,0.000015,
4.950000,0.000005,0.000004,0.007331,0.000013,0.000048,0.000017,
5.000000,0.000005,0.000004,0.007331,0.000013,0.000048,0.000018,
5.050000,0.000005,0.000004,0.007333,0.000014,0.000048,0.000024,
5.100000,0.000005,0.000004,0.007345,0.000021,0.000049,0.000022,
5.150000,0.000005,0.000004,0.007339,0.000021,0.000061,0.000017,
5.200000,0.000007,0.000003,0.007339,0.000022,0.000059,0.000016,
5.250000,0.000007,0.000003,0.007340,0.000015,0.000046,0.000016,
5.300000,0.000007,0.000002,0.007336,0.000014,0.000046,0.000013,
5.350000,0.000008,0.000002,0.007348,0.000268,0.000041,0.000042,
5.400000,0.000006,0.000002,0.007350,0.000295,0.000035,0.000043,
5.450000,0.000042,0.000544,0.007349,0.000297,0.000109,0.000147,
5.500000,0.000157,0.003065,0.007350,0.000300,0.000155,0.000536,
5.550000,0.000396,0.005771,0.007348,0.000309,0.000212,0.005463,
5.600000,0.000673,0.005735,0.007336,0.000307,0.000241,0.005454,
5.650000,0.001192,0.005390,0.007331,0.000526,0.000377,0.006011,
5.700000,0.002683,0.005370,0.007331,0.000528,0.000382,0.009426,
5.750000,0.002779,0.004908,0.007340,0.000922,0.000374,0.009746,
5.800000,0.003330,0.004249,0.007338,0.000971,0.000370,0.014646,
5.850000,0.004588,0.003431,0.007349,0.000719,0.000473,0.016601,
5.900000,0.004578,0.002432,0.007349,0.000888,0.000486,0.020461,
5.950000,0.004430,0.003432,0.007360,0.001047,0.001840,0.025673,
6.000000,0.004993,0.003918,0.007362,0.001339,0.001940,0.030095,
6.050000,0.005003,0.003760,0.007364,0.001466,0.001844,0.027681,
6.100000,0.005503,0.003582,0.007365,0.001478,0.002008,0.028207,
6.150000,0.004701,0.004273,0.007364,0.001686,0.001758,0.027308,
6.200000,0.003503,0.003427,0.007372,0.001752,0.002353,0.027389,
6.250000,0.003438,0.003806,0.007366,0.001264,0.002356,0.025990,
6.300000,0.002755,0.003666,0.007367,0.001379,0.002580,0.016577,
6.350000,0.001614,0.003030,0.007350,0.001415,0.002514,0.019700,
6.400000,0.001651,0.001479,0.007348,0.001589,0.002531,0.019176,
6.450000,0.001669,0.001513,0.007336,0.001261,0.001893,0.022477,
6.500000,0.000955,0.003362,0.007331,0.000685,0.001966,0.027949,
6.550000,0.000986,0.009481,0.007331,0.000685,0.001977,0.031315,
6.600000,0.000524,0.009785,0.007340,0.000902,0.001755,0.037626,
6.650000,0.000560,0.009770,0.007338,0.001096,0.001758,0.038729,
6.700000,0.000587,0.008264,0.007349,0.001079,0.001687,0.038556,
6.750000,0.000591,0.008754,0.007353,0.001090,0.001676,0.036953,
6.800000,0.000525,0.009031,0.007357,0.001102,0.001320,0.030158,
6.850000,0.000527,0.009440,0.007365,0.001104,0.001504,0.014998,
6.900000,0.000468,0.009571,0.007367,0.000870,0.001619,0.010891,
6.950000,0.000436,0.009929,0.007374,0.000869,0.001180,0.012118,
7.000000,0.000172,0.009183,0.007373,0.000665,0.001113,0.010872,
7.050000,0.000150,0.002824,0.007381,0.000630,0.001163,0.009464,
7.100000,0.000092,0.000196,0.007378,0.000532,0.001205,0.005424,
7.150000,0.000051,0.000014,0.007380,0.000295,0.001241,0.002198,
7.200000,0.000008,0.000004,0.007363,0.000021,0.000192,0.000027,
7.250000,0.000002,0.000004,0.007357,0.000019,0.000043,0.000023,
7.300000,0.000004,0.000004,0.007359,0.000019,0.000042,0.000023,
7.350000,0.000004,0.000004,0.007357,0.000016,0.000038,0.000023,
7.400000,0.000004,0.000005,0.007354,0.000017,0.000038,0.000025,
7.450000,0.000003,0.000005,0.007358,0.000015,0.000055,0.000026,
7.500000,0.000003,0.000003,0.007362,0.000015,0.000052,0.000026,
7.550000,0.000003,0.000003,0.007355,0.000007,0.000068,0.000017,
7.600000,0.000004,0.000004,0.007347,0.000010,0.000063,0.000016,
7.650000,0.000004,0.000005,0.007342,0.000010,0.000057,0.000014,
7.700000,0.000005,0.000004,0.007338,0.000010,0.000047,0.000011,
7.750000,0.000006,0.000004,0.007337,0.000010,0.000043,0.000007,
7.800000,0.000005,0.000004,0.007341,0.000011,0.000043,0.000006,
7.850000,0.000005,0.000003,0.007332,0.000013,0.000039,0.000005,
7.900000,0.000005,0.000002,0.007338,0.000012,0.000035,0.000012,
